customer_id,first_name,last_name,email,phone,state,registration_date,customer_status
C0001,Avi,Issac,bakshianvi@example.org,2181960013,Delhi,2026-04-18,ACTIVE
C0002,Hemangini,Lalla,ckannan@example.net,0265423511,Delhi,2025-11-02,ACTIVE
C0003,Lajita,Mall,sharafjeet@example.com,8495931034,Karnataka,2026-03-21,ACTIVE
C0004,Ekta,Bhalla,kpatla@example.com,3419283276,Delhi,2024-07-13,ACTIVE
C0005,Adya,Sangha,AZADMUTTI@EXAMPLE.COM,1395376724,Kerala,2025-06-04,ACTIVE
C0006,Zayan,Apte,opathak@example.org,1012269166,Tamil Nadu,2026-05-07,ACTIVE
C0007,Rushil,Dua,yadavamara@example.net,1462704828,Karnataka,2025-03-11,ACTIVE
C0008,Jeremiah,Dave,neel88@example.org,7015430391,Kerala,2026-01-19,INACTIVE
C0009,Hamsini,Bail,qgandhi@example.net,,Karnataka,2025-05-08,ACTIVE
C0010,Urvashi,Kibe,thomasamble@example.org,3105183473,Tamil Nadu,2024-06-24,ACTIVE
C0011,Ranveer,Yadav,mray@example.org,6566701065,Delhi,2025-06-04,ACTIVE
C0012,Vedika,Srivastava,bdey@example.org,7317810801,Telangana,2026-03-04,ACTIVE
C0013,Darsh,Murthy,nandinibhargava@example.org,0647468723,Telangana,2026-04-28,ACTIVE
C0014,Balveer,Bumb,bedivansha@example.net,0812191361,Maharashtra,2026-05-03,ACTIVE
C0015,Harish,Borah,uvirk@example.com,5346247510,Telangana,2024-11-30,ACTIVE
C0016,Hemang,Desai,yashawinilanka@example.org,1354278498,Tamil Nadu,2024-07-24,INACTIVE
C0017,Chaitanya,Aggarwal,jack18@example.org,4935348740,Kerala,2026-04-05,INACTIVE
C0018,Qushi,Datta,kalpit42@example.net,8680112805,Tamil Nadu,2025-01-22,ACTIVE
C0019,Praneel,Natarajan,morarjanya@example.org,3315869232,Delhi,2024-11-15,ACTIVE
C0020,Falguni,Mallick,rkothari@example.org,6073375433,Kerala,2026-01-26,ACTIVE
C0021,Dipta,Sarin,mallickindali@example.net,8501429401,Tamil Nadu,2024-10-02,ACTIVE
C0022,Yashica,More,rajanranveer@example.com,6088356159,Telangana,2026-05-21,ACTIVE
C0023,Bhavini,Kade,znarain@example.net,8236629946,Tamil Nadu,2025-07-17,ACTIVE
C0024,Rushil,Din,dnagy@example.com,3872148951,Maharashtra,2024-10-29,ACTIVE
C0025,Patrick,Vasa,batrayash@example.com,7693676320,Karnataka,2025-07-27,ACTIVE
C0026,Nathan,Soman,jbedi@example.org,7278895798,Karnataka,2024-09-23,ACTIVE
C0027,Lakshit,Dora,wlad@example.org,8734714345,Delhi,2024-09-10,ACTIVE
C0028,Lajita,Sood,leeladua@example.net,1665876036,Kerala,2024-10-29,ACTIVE
C0029,Noah,Sibal,pandeychanchal@example.com,8893734670,Kerala,2024-07-25,ACTIVE
C0030,Ladli,Mall,aviramesh@example.net,1627204653,Karnataka,2025-04-24,INACTIVE
C0031,Jonathan,Solanki,fkrishnan@example.com,8053100330,Telangana,2024-10-24,ACTIVE
C0032,Mekhala,Issac,kamdarudyati@example.net,5299124190,Delhi,2025-09-12,ACTIVE
C0033,Vrishti,Cherian,kibeharsh@example.net,9190586518,Karnataka,2024-04-21,ACTIVE
C0034,Gabriel,Mallick,opathak@example.com,6284987769,Telangana,2025-06-26,ACTIVE
C0035,Advaith,Varughese,wkohli@example.com,5075273545,Tamil Nadu,2026-01-06,ACTIVE
C0036,Jyoti,Solanki,frederickkhurana@example.net,7837770143,Karnataka,2024-10-08,INACTIVE
C0037,Aradhana,Vohra,pavani85@example.com,4443135182,Maharashtra,2024-10-21,INACTIVE
C0038,Advik,Mane,harish34@example.org,2408240084,Karnataka,2025-11-12,ACTIVE
C0039,Daksha,Chada,csrinivas@example.com,0471167190,Karnataka,2024-07-09,ACTIVE
C0040,Sarthak,Kakar,jagatsaha@example.net,8677496499,Delhi,2024-12-20,INACTIVE
C0041,Vivaan,Lalla,finn23@example.org,2067974034,Kerala,2025-06-28,ACTIVE
C0042,Daksha,Rau,pavanicontractor@example.net,2421024994,Karnataka,2026-03-22,INACTIVE
C0043,Banjeet,Gill,xiti87@example.com,9065940139,Tamil Nadu,2024-06-28,ACTIVE
